ShortName,Name
JP,ja_paucia
MRF,Morfin
IEY,Gigi
RAI,Raito
TNR,TN'ramon
MAD,MAD MAN
EMB,Ember
VB,Variety_Bear
SZP,szop
LEX,LexieUCH
KRZ,Kreuzameise
VOI,Void
QUA,Quarckos
DLK,DouglasLk
KEN,Kenai
DAM,Damu
DEK,DektorTV
LEO,Leon
KRB,Kirbspie
MAR,Marphy
BOL,Boltster1
FLP,flopp
SH,Super Horse
CHP,Chappo
CHE,Cheshai
MUR,Murni
OSA,Osamaaa
AYN,aynirg
DVD,davidxd04
CG,Captain Gaming
AVG,Average
